"STATION_NAME_FULL","STATION_NAME","EMS_ID","SERIAL","ADDRESS","CITY","LAT","LONG","ELEVATION","STATUS_DESCRIPTION","OWNER","REGION","STATUS","OPENED","CLOSED","NAPS_ID"
"Burns Lake Fire Centre","Burns Lake Fire Centre","E225267",436,"#8 4th Avenue","Burns Lake",54.2307,-125.7643,652,"OPERATIONAL","ENV","06 - Skeena","ON",2013-02-15 11:04:56,NA,105201
"Burns Lake Fire Centre_1","Burns Lake Fire Centre","E225267",25,"#8 4th Avenue","Burns Lake",54.230731,-125.764354,701,"NON OPERATIONAL","ENV","06 - Skeena","OFF",1997-01-03 00:00:00,NA,105201
"Burns Lake Fire Centre_15","Burns Lake Fire Centre","E225267",103,"#8 4th Avenue","Burns Lake",54.230731,-125.764354,701,"OPERATIONAL","ENV","06 - Skeena","ON",1997-01-03 00:00:00,NA,105201
"Burns Lake Fire Centre_60","Burns Lake Fire Centre","E225267",104,"#8 4th Avenue","Burns Lake",54.230731,-125.764354,710,"OPERATIONAL","ENV","06 - Skeena","ON",1997-01-03 00:00:00,NA,105201
"Burns Lake Sheraton East Met_15","Burns Lake Sheraton East","E292669",438,"N/A","Burns Lake",54.1527,-125.4495,679,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2013-02-21 08:54:13,NA,10
"Burns Lake Sheraton East Met_60","Burns Lake Sheraton East","E292669",439,"N/A","Burns Lake",54.1527,-125.4495,679,"OPERATIONAL","INDUSTRY","06 - Skeena","ON",2013-02-21 08:56:42,NA,10
"Campbell River Tyee Spit","Campbell River Tyee Spit","E229798",24,"2662 Tyee Spit","Campbell River",50.0486,-125.2556,3,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1997-01-12 00:00:00,NA,102802
"Castlegar Columbia Basin Trust Bldg","Castlegar Columbia Basin Trust Bldg","E274406",224,"on roof of trust building","Castlegar",49.3256,-117.6667,458,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2010-02-16 00:00:00,NA,10
"Castlegar Hospital","Castlegar Hospital","0260021",26,"709 10th Street","Castlegar",49.3144,-117.6605,455,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",1978-01-02 00:00:00,NA,10
"Castlegar Met","Castlegar","M114217",350,"709 10th Street","Castlegar",49.3139,-117.6578,451,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1985-10-20 00:00:00,NA,10
"Castlegar Zinio Park","Castlegar Zinio Park","E286369",419,"801 9th Avenue","Castlegar",49.317698,-117.661527,407,"OPERATIONAL","ENV","04 - Kootenay","ON",2011-07-15 00:00:00,NA,103502
"Celgar Pulp Met_15","Celgar Pulp","M114009",27,NA,"Castlegar",49.3333,-117.7188,449,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",1994-12-05 00:00:00,NA,10
"Celgar Pulp Met_60","Celgar Pulp","M114009",98,NA,"Castlegar",49.3333,-117.7188,449,"OPERATIONAL","INDUSTRY","04 - Kootenay","ON",1994-12-05 00:00:00,NA,10
"Central Saanich Stellys Cross Road","Central Saanich Stellys Cross Road","E253229",6,"Tsartlip Band Property","Victoria",48.58,-123.4422,60,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2003-08-09 00:00:00,NA,10
"Central Saanich Stellys CrossRoad_15","Central Saanich Stellys CrossRoad","E253229",165,"Tsartlip Band Property","Victoria",48.58,-123.4422,60,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2003-08-09 00:00:00,NA,10
"Central Saanich Stellys CrossRoad_60","Central Saanich Stellys CrossRoad","E253229",166,"Tsartlip Band Property","Victoria",48.58,-123.4422,60,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2003-08-09 00:00:00,NA,10
"Chemainus Bare Point_15","Chemainus Bare Point","E284969",410,"9800 Bare Point Road","Chemainus",48.9225,-123.7039,33,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2010-12-20 00:00:00,NA,10
"Chemainus Bare Point_60","Chemainus Bare Point","E284969",411,"9900 Bare Point Road","Chemainus",48.9225,-123.7039,33,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2010-12-20 00:00:00,NA,10
"Chetwynd Airport Westgate Road","Chetwynd Airport Westgate Road","Chetwynd OGC CAMEL",555,"At west end of  airstrip","Chetwynd",55.682131,-121.646006,0,"BC OGC MOBILE","BC OGC","07 - Omineca-Peace","OFF",2018-09-19 15:26:23,NA,10
"Chetwynd Airport Westgate Road_SG","Chetwynd Airport Westgate Road_SG","Chetwynd OGC CAMEL",508,"at west end of airstrip","Chetwynd",55.682131,-121.646006,0,"BC OGC MOBILE","BC OGC","07 - Omineca-Peace","OFF",2014-09-22 00:00:00,2015-01-11,10
"Chetwynd SW BCOGC MAML","Chetwynd SW BCOGC MAML","E299970",470,"Westgate Road, South of Hwy 97","None",55.682128,-121.646108,600,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",2014-09-22 00:00:00,2014-12-01,10
"Chilliwack Airport","Chilliwack Airport","E220891",500,"Airport Road","Chilliwack",49.1561,-121.9406,10,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",1994-05-18 00:00:00,NA,10
"Chilliwack Airport_Old","Chilliwack Airport","0310173",315,"Chilliwack Airport","Chilliwack",49.1558,-121.9436,0,"NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1979-01-02 00:00:00,NA,10
"Chilliwack Airport_OLD","Chilliwack Airport","M110517",314,"Airport","Chilliwack",49.1511,-121.9469,15,"NON OPERATIONAL","ENV","02 - Lower Mainland","OFF",1994-05-17 00:00:00,NA,10
"Chilliwack Airport_OLD","Chilliwack Airport","E220891",245,"Airport Road","Chilliwack",49.1561,-121.9406,10,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1994-05-18 00:00:00,NA,10
"Chilliwack Works Yard","Chilliwack Works Yard","E206612",316,"Works Yard","Chilliwack",49.1519,-121.9511,10,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",1984-01-01 00:00:00,NA,10
"Colwood City Hall","Colwood City Hall","E240337",284,"3300 Wishart Road","Colwood",48.42389,-123.49278,75,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2000-01-02 00:00:00,NA,100308
"Colwood City Hall_15","Colwood City Hall","E240337",554,"3300 Wishart Road","Colwood",48.42389,-123.49278,75,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2018-09-06 15:58:15,NA,100308
"Colwood City Hall_60","Colwood City Hall","E240337",553,"3300 Wishart Road","Colwood",48.42389,-123.49278,75,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2018-09-06 15:54:12,NA,100308
"Coquitlam Douglas College","Coquitlam Douglas College","E242892",260,"1250 Pinetree Way","Coquitlam",49.2881,-122.7914,61,"METRO VANCOUVER","MVRD","02 - Lower Mainland","ON",2000-01-10 00:00:00,NA,10
"Courtenay Elementary School","Courtenay Elementary School","E285829",414,"1540 McPhee Avenue","Courtenay",49.682603,-124.996222,27,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2011-05-20 00:00:00,NA,107100
"Courtenay Elementary School_15","Courtenay Elementary School","E285829",525,"1540 McPhee Avenue","Courtenay",49.682603,-124.996222,27,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2016-12-08 13:16:45,NA,107100
"Courtenay Elementary School_60","Courtenay Elementary School","E285829",526,"1540 McPhee Avenue","Courtenay",49.682603,-124.996222,27,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2016-12-08 13:16:57,NA,107100
"Cranbrook BC Ambulance Building","Cranbrook BC Ambulance Building","E273763",225,"roof of building","Cranbrook",49.5144,-115.7631,942,"NON CONTINUOUS","ENV","04 - Kootenay","OFF",2010-02-16 00:00:00,NA,10
"Cranbrook Forest Fire","Cranbrook Forest Fire","E242577",351,"Forest","Cranbrook",49.5319,-115.7536,891,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2000-08-20 00:00:00,NA,10
"Cranbrook Muriel Baxter","Cranbrook Muriel Baxter","E313510",550,"3rd St. S, 20 Ave S.","Cranbrook",49.507103,-115.753682,941,"OPERATIONAL","ENV","04 - Kootenay","ON",2018-08-20 00:00:00,NA,101904
"Cranbrook Muriel Baxter_15","Cranbrook Muriel Baxter","E313510",552,"3rd St. S, 20 Ave S.","Cranbrook",49.507103,-115.753682,941,"OPERATIONAL","ENV","04 - Kootenay","ON",2018-08-16 12:15:12,NA,101904
"Cranbrook Muriel Baxter_60","Cranbrook Muriel Baxter","E313510",551,"3rd St. S, 20 Ave S.","Cranbrook",49.507103,-115.753682,941,"OPERATIONAL","ENV","04 - Kootenay","ON",2018-08-16 12:06:35,NA,101904
"Cranbrook PR3","Cranbrook PR3","E220203",352,"Adjacent to 1333 14th Avenue S","Cranbrook",49.51,-115.7592,970,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1994-04-20 00:00:00,NA,10
"Cranbrook Swimming Pool","Cranbrook Swimming Pool","E206243",353,"Balment Park","Cranbrook",49.5117,-115.7569,940,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1989-01-08 00:00:00,NA,10
"Creston Flats_15","Creston Flats","E256215",28,"830 Indian Road","Creston",49.1339,-116.5528,529,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2007-05-31 00:00:00,NA,10
"Creston Flats_60","Creston Flats","E256215",99,"830 Indian Road","Creston",49.1339,-116.5528,529,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2007-05-31 00:00:00,NA,10
"Creston PC School","Creston PC School","E221199",29,"Prince Charles Secondary School","Creston",49.0944,-116.5125,609,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1994-10-27 00:00:00,NA,101801
"Creston PC School Met_15","Creston PC School","M114018",30,"Prince Charles Secondary School","Creston",49.0944,-116.5125,609,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1995-02-01 00:00:00,NA,10
"Creston PC School Met_60","Creston PC School","M114018",31,"Prince Charles Secondary School","Creston",49.0944,-116.5125,609,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",1995-02-01 00:00:00,NA,10
"Creston Piper Farms","Creston Piper Farms","E259398",32,"Canada/US Border","Creston",49.0119,-116.5333,418,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2008-12-01 00:00:00,NA,10
"Creston South Hanson Farm","Creston South Hanson Farm","E262799",354,"Hanson Farm","Creston",49.0439,-116.5439,525,"NON OPERATIONAL","ENV","04 - Kootenay","OFF",2006-04-15 00:00:00,NA,10
"Crofton Community Hall","Crofton Community Hall","E206379",285,"Robert Street","Crofton",48.8647,-123.6481,73,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",1986-01-07 00:00:00,NA,10
"Crofton Escarpment Way","Crofton Escarpment Way","E273443",38,"1821 Escarpment Way","Crofton",48.838,-123.6552,142,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2008-09-18 00:00:00,NA,106700
"Crofton Georgia Hts","Crofton Georgia Hts","E296370",458,"1427 Georgia Park Hts","Crofton",48.849635,-123.637041,150,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2014-02-18 00:00:00,NA,106702
"Crofton Met_1","Crofton","M101004",35,"Catalyst Paper","Crofton",48.8802,-123.6458,20,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1991-03-15 00:00:00,NA,10
"Crofton Met_15","Crofton","M101004",36,"Catalyst Paper","Crofton",48.8802,-123.6458,20,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1991-03-15 00:00:00,NA,10
"Crofton Met_60","Crofton","M101004",37,"Catalyst Paper","Crofton",48.8802,-123.6458,20,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1991-03-15 00:00:00,NA,10
"Crofton South","Crofton South","E220218",286,"7390 Albert Place","Crofton",48.8389,-123.6528,140,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1994-07-22 00:00:00,NA,10
"Crofton Substation","Crofton Substation","E220217",39,"8541 Hay Road","Crofton",48.874529,-123.653929,22,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",1994-08-19 00:00:00,NA,106701
"Crofton West","Crofton West","E220219",287,"7815 Westholme Road","Crofton",48.8694,-123.6944,10,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1994-08-07 00:00:00,NA,10
"Cumberland Firehall","Cumberland Firehall","E306481",518,"2679 Dunsmuir Avenue","Cumberland",49.618667,-125.031444,169,"E-BAM OPERATIONAL","ENV","01 - Vancouver Island","OFF",2016-08-25 00:00:00,NA,10
"Dawson Creek 17th Street","Dawson Creek 17th Street","E237254",393,"17th Street","Dawson Creek",55.7839,-120.2533,710,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1999-04-28 00:00:00,NA,10
"Dawson Creek Harpers","Dawson Creek Harpers","E237253",394,"ENE of Louisiana Pacific Plant","Dawson Creek",55.7878,-120.2717,710,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1999-04-28 00:00:00,NA,10
"Dawson Creek LPC Upwind","Dawson Creek LPC Upwind","E237252",395,"NW of Louisiana Pacific Plant","Dawson Creek",55.7906,-120.3014,695,"NON OPERATIONAL","INDUSTRY","07 - Omineca-Peace","OFF",1999-04-28 00:00:00,NA,10
"Dawson Creek Northern Lights College","Dawson Creek Northern Lights College","Dawson OGC CAMEL",506,NA,"Dawson Creek",55.747586,-120.230519,0,"BC OGC MOBILE","BC OGC","07 - Omineca-Peace","OFF",2014-04-01 00:00:00,2014-07-07,10
"Delta Lindsey Place Trailer","Delta Lindsey Place Trailer","TRAILER_01",561,"Delta","Delta",49.165894,-122.960928,NA,"MOBILE","ENV","02 - Lower Mainland","ON",2019-02-08 00:00:00,NA,10
"Doig River Cultural Centre","Doig River Cultural Centre","E295893",454,"4356 Doig Road","Doig River",56.5780833,-120.49748,552,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2013-12-10 00:00:00,NA,105503
"Doig River Cultural Centre Met_1","Doig River Cultural Centre","E295893",461,"4356 Doig Road","Doig River",56.5780833,-120.49748,552,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2014-05-05 07:28:05,NA,105503
"Doig River Cultural Centre Met_60","Doig River Cultural Centre","E295893",462,"4356 Doig Road","Doig River",56.5780833,-120.49748,552,"NON OPERATIONAL","ENV","07 - Omineca-Peace","OFF",2014-05-05 07:39:24,2016-12-02,105503
"Duncan Cairnsmore","Duncan Cairnsmore","E277329",33,"490 Cairnsmore Street","Duncan",48.784854,-123.715846,62,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2009-08-17 00:00:00,2018-01-15,104803
"Duncan Cairnsmore_15","Duncan Cairnsmore","E277329",524,"490 Cairnsmore Street","Duncan",48.784854,-123.715846,62,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2016-11-28 14:25:20,2018-01-15,104803
"Duncan Cairnsmore_60","Duncan Cairnsmore","E277329",523,"490 Cairnsmore Street","Duncan",48.784854,-123.715846,62,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2016-11-28 14:24:47,2018-01-15,104803
"Duncan College Street","Duncan College Street","E311128",542,"1050 College Street","Duncan",48.786114,-123.717307,32,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2018-02-01 10:22:38,NA,104804
"Duncan College Street_15","Duncan College Street","E311128",539,"1050 College Street","Duncan",48.786114,-123.717307,32,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2017-12-04 00:00:00,NA,104804
"Duncan College Street_60","Duncan College Street","E311128",537,"1050 College Street","Duncan",48.786114,-123.717307,32,"OPERATIONAL","ENV","01 - Vancouver Island","ON",2017-12-04 00:00:00,NA,104804
"Duncan Deykin Avenue","Duncan Deykin Avenue","E234670",40,"6364 Deykin Avenue","Duncan",48.80255,-123.646402,62,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",1998-01-11 00:00:00,NA,104801
"Duncan Koksilah","Duncan Koksilah","E242620",288,"5300 Island Highway","Duncan",48.758,-123.6889,0,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2000-09-26 00:00:00,NA,10
"Duncan Mobile","Duncan Mobile","E223361",289,"5700 Menzies Road","Duncan",48.9128,-123.7814,61,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",1996-01-07 00:00:00,NA,10
"Duncan Mobile Transfer Station","Duncan Mobile Transfer Station","E242166",290,"3900 Drinkwater Road","Duncan",49.8036,-123.6897,244,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2000-01-07 00:00:00,NA,10
"Eagle Ridge","Eagle Ridge","0310169",317,"475 Guildford Way","Port Moody",49.2847,-122.9017,52,"METRO VANCOUVER NON OPERATIONAL","MVRD","02 - Lower Mainland","OFF",2010-10-15 00:00:00,NA,10
"Elk Falls Dogwood","Elk Falls Dogwood","E222520",522,"Adjacent to 660 Westmere","Campbell River",50.018425,-125.2844,63,"OPERATIONAL","INDUSTRY","01 - Vancouver Island","ON",2016-11-18 17:02:57,NA,102801
"Elk Falls Dogwood_OLD","Elk Falls Dogwood","E222520",41,"Adjacent to 660 Westmere","Campbell River",50.018425,-125.2844,63,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",1995-12-01 00:00:00,NA,102801
"Elk Falls Pulp Mill_1","Elk Falls Pulp Mill","E251329",42,"Adjacent to 660 Westmere","Campbell River",50.0733,-125.2869,15,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2003-11-02 00:00:00,NA,10
"Elk Falls Pulp Mill_15","Elk Falls Pulp Mill","E251329",43,"Adjacent to 660 Westmere","Campbell River",50.0733,-125.2869,15,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2003-11-02 00:00:00,NA,10
"Elk Falls Pulp Mill_60","Elk Falls Pulp Mill","E251329",44,"Adjacent to 660 Westmere","Campbell River",50.0733,-125.2869,15,"NON OPERATIONAL","INDUSTRY","01 - Vancouver Island","OFF",2003-11-02 00:00:00,NA,10
"Endako","Endako","E227290",379,"Endako","Fraser Lake",54.03,-125.08,0,"NON OPERATIONAL","ENV","06 - Skeena","OFF",1997-07-14 00:00:00,NA,10
"Esquimalt Graving Dock_1","Esquimalt Graving Dock","E231478",45,"825 Admirals Road","Victoria",48.4374,-123.422,23,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2004-08-29 00:00:00,NA,100312
"Esquimalt Graving Dock_15","Esquimalt Graving Dock","E231478",46,"825 Admirals Road","Victoria",48.4374,-123.422,23,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2004-08-29 00:00:00,NA,100312
"Esquimalt Graving Dock_60","Esquimalt Graving Dock","E231478",47,"825 Admirals Road","Victoria",48.4374,-123.422,23,"NON OPERATIONAL","ENV","01 - Vancouver Island","OFF",2004-08-29 00:00:00,NA,100312
"Farmington Community Hall","Farmington Community Hall","E295892",455,"4794 Parkland Road","Farmington",55.9132326,-120.53157,696,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2017-12-05 00:00:00,NA,104304
"Farmington Community Hall Met_1","Farmington Community Hall","E295892",463,"4794 Parkland Road","Farmington",55.9132326,-120.53157,696,"OPERATIONAL","INDUSTRY","07 - Omineca-Peace","ON",2017-12-05 00:00:00,NA,104304
